FileRowID,LINE TYPE,CMS-70,CMS-70 NO VOLUME/NOT PERFORMED,CHARGE CODE/ PACKAGE,CHARGE DESCRIPTION,DRG,CPT,MODIFIERS,REV CODE,NDC,GROSS CHARGES,SELF PAY CASH PRICE,MIN NEGOTIATED RATE,MAX NEGOTIATED RATE,Aetna Commercial IP Rate,Aetna Commercial OP Rate,Aetna St Dominic Employee Group IP Rate,Aetna St Dominic Employee Group OP Rate,Blue Cross of Mississippi AHS IP Rate,Blue Cross of Mississippi AHS OP Rate,Blue Cross of Mississippi FMP IP Rate,Blue Cross of Mississippi FMP OP Rate,Cigna Commercial Plan IP Rate,Cigna Commercial Plan OP Rate,Cigna Medicare Advantange IP Rate,Cigna Medicare Advantange OP Rate,Humana ChoiceCare Commercial IP Rate,Humana ChoiceCare Commercial OP Rate,Humana ChoiceCare Medicare IP Rate,Humana ChoiceCare Medicare OP Rate,Magellan IP Rate,Magellan OP Rate,Magnolia Health Plan Allwell IP Rate,Magnolia Health Plan Allwell OP Rate,Magnolia Health Plan CHIP IP Rate,Magnolia Health Plan CHIP OP Rate,Magnolia Health Plan Medicaid IP Rate,Magnolia Health Plan Medicaid OP Rate,Medicare Advantage Miscellaneous Plans IP Rate,Medicare Advantage Miscellaneous Plans OP Rate,Medicare IP Rate,Medicare OP Rate,Mississippi Medicaid Traditional IP Rate,Mississippi Medicaid Traditional OP Rate,Molina Healthcare of Mississippi IP Rate,Molina Healthcare of Mississippi OP Rate,PHCS IP Rate,PHCS OP Rate,PPO Plus IP Rate,PPO Plus OP Rate,United Behavioral Health IP Rate,United Behavioral Health MSCAN IP Rate,United Behavioral Health MSCAN OP Rate,United Behavioral Health OP Rate,United Healthcare of Mississippi CAN IP Rate,United Healthcare of Mississippi CAN OP Rate,United Healthcare of Mississippi CHIP IP Rate,United Healthcare of Mississippi CHIP OP Rate,United Healthcare of Mississippi Commercial IP Rate,United Healthcare of Mississippi Commercial OP Rate,United Healthcare of Mississippi PPO IP Rate,United Healthcare of Mississippi PPO OP Rate,United Healthcare of Mississippi Select IP Rate,United Healthcare of Mississippi Select OP Rate,Windsor Health Plan IP Rate,Windsor Health Plan OP Rate
12554,CDM,,,8179407,SPM SUB Q DEBRIDEMENT <= 20 SQ CM WEI,NA,11042,N/A,761,NA,"$1,191.00",$381.12,$255.92,"$1,191.00",NA,$559.77,NA,$589.95,NA,$569.40,NA,NA,NA,$589.95,NA,$313.61,NA,$535.95,NA,$313.61,NA,NA,NA,$316.71,NA,$281.27,NA,$255.92,NA,$310.50,NA,$310.50,NA,$255.92,NA,$255.92,NA,$535.95,NA,$535.95,NA,NA,NA,NA,NA,$255.92,NA,$255.92,NA,$553.66,NA,$676.25,NA,$489.80,NA,$310.50
6951,CDM,,,1779400,COLLECTION: VENOUS DRAW,NA,36415,N/A,300,NA,$21.00,$6.72,$1.80,$21.00,NA,$9.87,NA,$5.70,NA,$4.00,NA,$4.00,NA,$5.70,NA,$3.00,NA,$9.45,NA,$3.03,NA,NA,NA,$3.06,NA,$2.97,NA,$2.70,NA,$3.00,NA,$3.00,NA,$2.70,NA,$2.70,NA,$9.45,NA,$9.45,NA,NA,NA,NA,NA,$2.70,NA,$2.70,NA,$2.70,NA,$2.70,NA,$1.80,NA,$3.00
6955,CDM,,,7631206,VENIPUNCTURE,NA,36415,N/A,300,NA,$21.00,$6.72,$1.80,$21.00,NA,$9.87,NA,$5.70,NA,$4.00,NA,$4.00,NA,$5.70,NA,$3.00,NA,$9.45,NA,$3.03,NA,NA,NA,$3.06,NA,$2.97,NA,$2.70,NA,$3.00,NA,$3.00,NA,$2.70,NA,$2.70,NA,$9.45,NA,$9.45,NA,NA,NA,NA,NA,$2.70,NA,$2.70,NA,$2.70,NA,$2.70,NA,$1.80,NA,$3.00
9856,CDM,,,7677462,BLOOD ADMIN,NA,36430,N/A,391,NA,$484.00,$154.88,$217.80,$677.33,NA,$227.48,NA,$677.33,NA,$484.00,NA,$484.00,NA,$677.33,NA,$360.05,NA,$217.80,NA,$360.05,NA,NA,NA,$363.62,NA,$342.89,NA,$310.81,NA,$356.49,NA,$356.49,NA,$310.81,NA,$310.81,NA,$217.80,NA,$217.80,NA,NA,NA,NA,NA,$310.81,NA,$311.72,NA,$484.00,NA,$484.00,NA,$484.00,NA,$356.49
7672,CDM,X,,7741401,CT HEAD WITHOUT CONTRAST - CANCER CENTER CHARGES,NA,70450,N/A,350,NA,"$1,893.00",$605.76,$89.78,"$1,893.00",NA,$889.71,NA,$185.90,NA,$225.38,NA,$225.38,NA,$185.90,NA,$98.82,NA,$851.85,NA,$98.82,NA,NA,NA,$99.80,NA,$100.76,NA,$89.78,NA,$97.84,NA,$97.84,NA,$89.78,NA,$89.78,NA,$851.85,NA,$851.85,NA,NA,NA,NA,NA,$91.60,NA,$91.60,NA,$194.22,NA,$237.23,NA,$172.36,NA,$97.84
7750,CDM,X,,7628962,CT BRAIN WO CONTRAST,NA,70450,N/A,351,NA,"$1,893.00",$605.76,$89.78,"$1,893.00",NA,$889.71,NA,$185.90,NA,$225.38,NA,$225.38,NA,$185.90,NA,$98.82,NA,$851.85,NA,$98.82,NA,NA,NA,$99.80,NA,$100.76,NA,$89.78,NA,$97.84,NA,$97.84,NA,$89.78,NA,$89.78,NA,$851.85,NA,$851.85,NA,NA,NA,NA,NA,$91.60,NA,$91.60,NA,$194.22,NA,$237.23,NA,$172.36,NA,$97.84
7757,CDM,,,7629001,CT EAR WO CONTRAST,NA,70480,50,351,NA,"$1,504.00",$481.28,$89.78,"$1,504.00",NA,$706.88,NA,$185.90,NA,$225.38,NA,$225.38,NA,$185.90,NA,$98.82,NA,$676.80,NA,$98.82,NA,NA,NA,$99.80,NA,$100.76,NA,$89.78,NA,$97.84,NA,$97.84,NA,$89.78,NA,$89.78,NA,$676.80,NA,$676.80,NA,NA,NA,NA,NA,$89.78,NA,$91.60,NA,$194.22,NA,$237.23,NA,$172.36,NA,$97.84
7758,CDM,,,7629128,CT MAXILLOFACIAL WO CONTRAST,NA,70486,N/A,351,NA,"$1,504.00",$481.28,$89.78,"$1,504.00",NA,$706.88,NA,$185.90,NA,$225.38,NA,$225.38,NA,$185.90,NA,$98.82,NA,$676.80,NA,$98.82,NA,NA,NA,$99.80,NA,$100.76,NA,$89.78,NA,$97.84,NA,$97.84,NA,$89.78,NA,$89.78,NA,$676.80,NA,$676.80,NA,NA,NA,NA,NA,$89.78,NA,$91.60,NA,$194.22,NA,$237.23,NA,$172.36,NA,$97.84
7759,CDM,,,7610172,CT SINUSES WO CONTRAST,NA,70486,N/A,351,NA,"$1,504.00",$481.28,$89.78,"$1,504.00",NA,$706.88,NA,$185.90,NA,$225.38,NA,$225.38,NA,$185.90,NA,$98.82,NA,$676.80,NA,$98.82,NA,NA,NA,$99.80,NA,$100.76,NA,$89.78,NA,$97.84,NA,$97.84,NA,$89.78,NA,$89.78,NA,$676.80,NA,$676.80,NA,NA,NA,NA,NA,$89.78,NA,$91.60,NA,$194.22,NA,$237.23,NA,$172.36,NA,$97.84
7760,CDM,,,7610163,CT SURGICAL SINUS WO,NA,70486,N/A,351,NA,"$1,504.00",$481.28,$89.78,"$1,504.00",NA,$706.88,NA,$185.90,NA,$225.38,NA,$225.38,NA,$185.90,NA,$98.82,NA,$676.80,NA,$98.82,NA,NA,NA,$99.80,NA,$100.76,NA,$89.78,NA,$97.84,NA,$97.84,NA,$89.78,NA,$89.78,NA,$676.80,NA,$676.80,NA,NA,NA,NA,NA,$89.78,NA,$91.60,NA,$194.22,NA,$237.23,NA,$172.36,NA,$97.84
